year;district;indicator;number
2018;Västra Innerstaden;educational-level_gymnasial_men;3532
2018;Västra Innerstaden;educational-level_eftergymnasial_men;6048
2018;Västra Innerstaden;educational-level_other_men;263
2018;Västra Innerstaden;educational-level_förgymnasial_women;508
2018;Västra Innerstaden;educational-level_gymnasial_women;3246
2018;Västra Innerstaden;educational-level_eftergymnasial_women;7779
2018;Västra Innerstaden;educational-level_other_women;199
2018;Västra Innerstaden;educational-level_förgymnasial_all;1193
2018;Västra Innerstaden;educational-level_gymnasial_all;6778
2018;Västra Innerstaden;educational-level_eftergymnasial_all;13827
2018;Västra Innerstaden;educational-level_other_all;462
2018;Limhamn-Bunkeflo;educational-level_total-age-20-64_men;13695
2018;Limhamn-Bunkeflo;educational-level_total-age-20-64_women;14229
2018;Limhamn-Bunkeflo;educational-level_total-age-20-64_all;27924
2018;Limhamn-Bunkeflo;educational-level_förgymnasial_men;1057
2018;Limhamn-Bunkeflo;educational-level_gymnasial_men;5019
2018;Limhamn-Bunkeflo;educational-level_eftergymnasial_men;7163
2018;Limhamn-Bunkeflo;educational-level_other_men;456
2018;Limhamn-Bunkeflo;educational-level_förgymnasial_women;721
2018;Limhamn-Bunkeflo;educational-level_gymnasial_women;4368
2018;Limhamn-Bunkeflo;educational-level_eftergymnasial_women;8779
2018;Limhamn-Bunkeflo;educational-level_other_women;361
2018;Limhamn-Bunkeflo;educational-level_förgymnasial_all;1778
2018;Limhamn-Bunkeflo;educational-level_gymnasial_all;9387
2018;Limhamn-Bunkeflo;educational-level_eftergymnasial_all;15942
2018;Limhamn-Bunkeflo;educational-level_other_all;817
2018;Hyllie;educational-level_total-age-20-64_men;10277
2018;Hyllie;educational-level_total-age-20-64_women;10360
2018;Hyllie;educational-level_total-age-20-64_all;20637
2018;Hyllie;educational-level_förgymnasial_men;1638
2018;Hyllie;educational-level_gymnasial_men;4449
2018;Hyllie;educational-level_eftergymnasial_men;3725
2018;Hyllie;educational-level_other_men;465
2018;Hyllie;educational-level_förgymnasial_women;1559
2018;Hyllie;educational-level_gymnasial_women;4033
2018;Hyllie;educational-level_eftergymnasial_women;4338
2018;Hyllie;educational-level_other_women;430
2018;Hyllie;educational-level_förgymnasial_all;3197
2018;Hyllie;educational-level_gymnasial_all;8482
2018;Hyllie;educational-level_eftergymnasial_all;8063
2018;Hyllie;educational-level_other_all;895
2018;Fosie;educational-level_total-age-20-64_men;14334
2018;Fosie;educational-level_total-age-20-64_women;13228
2018;Fosie;educational-level_total-age-20-64_all;27562
2018;Fosie;educational-level_förgymnasial_men;3030
2018;Fosie;educational-level_gymnasial_men;6469
2018;Fosie;educational-level_eftergymnasial_men;3911
2018;Fosie;educational-level_other_men;924
2018;Fosie;educational-level_förgymnasial_women;2671
2018;Fosie;educational-level_gymnasial_women;5523
2018;Fosie;educational-level_eftergymnasial_women;4286
2018;Fosie;educational-level_other_women;748
2018;Fosie;educational-level_förgymnasial_all;5701
2018;Fosie;educational-level_gymnasial_all;11992
2018;Fosie;educational-level_eftergymnasial_all;8197
2018;Fosie;educational-level_other_all;1672
2018;Oxie;educational-level_total-age-20-64_men;3815
2018;Oxie;educational-level_total-age-20-64_women;3736
2018;Oxie;educational-level_total-age-20-64_all;7551
2018;Oxie;educational-level_förgymnasial_men;565
2018;Oxie;educational-level_gymnasial_men;1877
2018;Oxie;educational-level_eftergymnasial_men;1181
2018;Oxie;educational-level_other_men;192
2018;Oxie;educational-level_förgymnasial_women;413
2018;Oxie;educational-level_gymnasial_women;1712
2018;Oxie;educational-level_eftergymnasial_women;1459
2018;Oxie;educational-level_other_women;152
2018;Oxie;educational-level_förgymnasial_all;978
2018;Oxie;educational-level_gymnasial_all;3589
2018;Oxie;educational-level_eftergymnasial_all;2640
2018;Oxie;educational-level_other_all;344
2018;Rosengård;educational-level_total-age-20-64_men;6888
2018;Rosengård;educational-level_total-age-20-64_women;6580
2018;Rosengård;educational-level_total-age-20-64_all;13468
2018;Rosengård;educational-level_förgymnasial_men;2067
2018;Rosengård;educational-level_gymnasial_men;2775
2018;Rosengård;educational-level_eftergymnasial_men;1536
2018;Rosengård;educational-level_other_men;510
2018;Rosengård;educational-level_förgymnasial_women;2056
2018;Rosengård;educational-level_gymnasial_women;2373
2018;Rosengård;educational-level_eftergymnasial_women;1643
2018;Rosengård;educational-level_other_women;508
2018;Rosengård;educational-level_förgymnasial_all;4123
2018;Rosengård;educational-level_gymnasial_all;5148
2018;Rosengård;educational-level_eftergymnasial_all;3179
2018;Rosengård;educational-level_other_all;1018
2018;Husie;educational-level_total-age-20-64_men;6263
2018;Husie;educational-level_total-age-20-64_women;6349
2018;Husie;educational-level_total-age-20-64_all;12612
2018;Husie;educational-level_förgymnasial_men;780
2018;Husie;educational-level_gymnasial_men;2965
2018;Husie;educational-level_eftergymnasial_men;2315
2018;Husie;educational-level_other_men;203
2018;Husie;educational-level_förgymnasial_women;643
2018;Husie;educational-level_gymnasial_women;2617
2018;Husie;educational-level_eftergymnasial_women;2962
2018;Husie;educational-level_other_women;127
2018;Husie;educational-level_förgymnasial_all;1423
2018;Husie;educational-level_gymnasial_all;5582
2018;Husie;educational-level_eftergymnasial_all;5277
2018;Husie;educational-level_other_all;330
2018;Kirseberg;educational-level_total-age-20-64_men;5599
2018;Kirseberg;educational-level_total-age-20-64_women;5010
2018;Kirseberg;educational-level_total-age-20-64_all;10609
2018;Kirseberg;educational-level_förgymnasial_men;864
2018;Kirseberg;educational-level_gymnasial_men;2375
2018;Kirseberg;educational-level_eftergymnasial_men;2119
2018;Kirseberg;educational-level_other_men;241
2018;Kirseberg;educational-level_förgymnasial_women;643
2018;Kirseberg;educational-level_gymnasial_women;1832
2018;Kirseberg;educational-level_eftergymnasial_women;2382
2018;Kirseberg;educational-level_other_women;153
2018;Kirseberg;educational-level_förgymnasial_all;1507
2018;Kirseberg;educational-level_gymnasial_all;4207
2018;Kirseberg;educational-level_eftergymnasial_all;4501
2018;Kirseberg;educational-level_other_all;394
